anio,escenario,regla,vp_acumulado_inferior_gtq,vp_acumulado_superior_gtq
2026,Contención proporcional,Deforestación bruta,6880232675.4297771454,6880232675.4297771454
2027,Contención proporcional,Deforestación bruta,13495841017.1891784668,13495841017.1891784668
2028,Contención proporcional,Deforestación bruta,19857002884.2655258179,19857002884.2655258179
2029,Contención proporcional,Deforestación bruta,25973504679.5312423706,25973504679.5312423706
2030,Contención proporcional,Deforestación bruta,31854756405.7482795715,31854756405.7482795715
2031,Contención proporcional,Deforestación bruta,37509806142.4954299927,37509806142.4954299927
2032,Contención proporcional,Deforestación bruta,42947353966.2907638550,42947353966.2907638550
2033,Contención proporcional,Deforestación bruta,48175765335.3247451782,48175765335.3247451782
2034,Contención proporcional,Deforestación bruta,53203083959.3958740234,53203083959.3958740234
2035,Contención proporcional,Deforestación bruta,58037044174.8488845825,58037044174.8488845825
2026,Contención proporcional,Saldo ponderado por recuperación,3278971927.0407557487,3490529601.7298960686
2027,Contención proporcional,Saldo ponderado por recuperación,6431829549.1953277588,6846808064.9317188263
2028,Contención proporcional,Saldo ponderado por recuperación,9463423416.6516475677,10073998894.9334716797
2029,Contención proporcional,Saldo ponderado por recuperación,12378417519.9750328064,13177067000.7043876648
2030,Contención proporcional,Saldo ponderado por recuperación,15181296465.4782867432,16160786333.1764221191
2031,Contención proporcional,Saldo ponderado por recuperación,17876372374.6160316467,19029747229.7841491699
2032,Contención proporcional,Saldo ponderado por recuperación,20467791518.0177078247,21788363476.5223464966
2033,Contención proporcional,Saldo ponderado por recuperación,22959540694.3654747009,24440879098.3859939575
2034,Contención proporcional,Saldo ponderado por recuperación,25355453363.9306335449,26991374888.6395034790
2035,Contención proporcional,Saldo ponderado por recuperación,27659215546.2048263550,29443774686.9601860046
2026,Contención proporcional,Pérdida neta institucional,1484643808.6849229336,1484643808.6849229336
2027,Contención proporcional,Pérdida neta institucional,2912185932.4204254150,2912185932.4204254150
2028,Contención proporcional,Pérdida neta institucional,4284822589.8584089279,4284822589.8584089279
2029,Contención proporcional,Pérdida neta institucional,5604665529.7026233673,5604665529.7026233673
2030,Contención proporcional,Pérdida neta institucional,6873745279.5528297424,6873745279.5528297424
2031,Contención proporcional,Pérdida neta institucional,8094014269.7934131622,8094014269.7934131622
2032,Contención proporcional,Pérdida neta institucional,9267349837.3324356079,9267349837.3324356079
2033,Contención proporcional,Pérdida neta institucional,10395557113.8122634888,10395557113.8122634888
2034,Contención proporcional,Pérdida neta institucional,11480371802.7351760864,11480371802.7351760864
2035,Contención proporcional,Pérdida neta institucional,12523462849.7764377594,12523462849.7764377594
2026,Continuidad,Deforestación bruta,27520930701.7191085815,27520930701.7191085815
2027,Continuidad,Deforestación bruta,53983364068.7567138672,53983364068.7567138672
2028,Continuidad,Deforestación bruta,79428011537.0621032715,79428011537.0621032715
2029,Continuidad,Deforestación bruta,103894018718.1249694824,103894018718.1249694824
2030,Continuidad,Deforestación bruta,127419025622.9931182861,127419025622.9931182861
2031,Continuidad,Deforestación bruta,150039224569.9817199707,150039224569.9817199707
2032,Continuidad,Deforestación bruta,171789415865.1630554199,171789415865.1630554199
2033,Continuidad,Deforestación bruta,192703061341.2989807129,192703061341.2989807129
2034,Continuidad,Deforestación bruta,212812335837.5834960938,212812335837.5834960938
2035,Continuidad,Deforestación bruta,232148176699.3955383301,232148176699.3955383301
2026,Continuidad,Saldo ponderado por recuperación,13115887708.1630229950,13962118406.9195842743
2027,Continuidad,Saldo ponderado por recuperación,25727318196.7813110352,27387232259.7268753052
2028,Continuidad,Saldo ponderado por recuperación,37853693666.6065902710,40295995579.7338867188
2029,Continuidad,Saldo ponderado por recuperación,49513670079.9001312256,52708268002.8175506592
2030,Continuidad,Saldo ponderado por recuperación,60725185861.9131469727,64643145332.7056884766
2031,Continuidad,Saldo ponderado por recuperación,71505489498.4641265869,76118988919.1365966797
2032,Continuidad,Saldo ponderado por recuperación,81871166072.0708312988,87153453906.0893859863
2033,Continuidad,Saldo ponderado por recuperación,91838162777.4618988037,97763516393.5439758301
2034,Continuidad,Saldo ponderado por recuperación,101421813455.7225341797,107965499554.5580139160
2035,Continuidad,Saldo ponderado por recuperación,110636862184.8193054199,117775098747.8407440186
2026,Continuidad,Pérdida neta institucional,5938575234.7396917343,5938575234.7396917343
2027,Continuidad,Pérdida neta institucional,11648743729.6817016602,11648743729.6817016602
2028,Continuidad,Pérdida neta institucional,17139290359.4336357117,17139290359.4336357117
2029,Continuidad,Pérdida neta institucional,22418662118.8104934692,22418662118.8104934692
2030,Continuidad,Pérdida neta institucional,27494981118.2113189697,27494981118.2113189697
2031,Continuidad,Pérdida neta institucional,32376057079.1736526489,32376057079.1736526489
2032,Continuidad,Pérdida neta institucional,37069399349.3297424316,37069399349.3297424316
2033,Continuidad,Pérdida neta institucional,41582228455.2490539551,41582228455.2490539551
2034,Continuidad,Pérdida neta institucional,45921487210.9407043457,45921487210.9407043457
2035,Continuidad,Pérdida neta institucional,50093851399.1057510376,50093851399.1057510376
2026,Deterioro proporcional acelerado,Deforestación bruta,55041861403.4382171631,55041861403.4382171631
2027,Deterioro proporcional acelerado,Deforestación bruta,107966728137.5134277344,107966728137.5134277344
2028,Deterioro proporcional acelerado,Deforestación bruta,158856023074.1242065430,158856023074.1242065430
